camera_id,Point,Location1,Location2,Camera Angle,SnapshotUrl
662a89ae1afb9c00172d26ad,POINT(106.633536815643 10.7028218314316),,Nguyễn Văn Linh - Trịnh Quang Nghị,,http://camera.thongtingiaothong.vn/api/snapshot/662a89ae1afb9c00172d26ad
63b54a70bfd3d90017ea7862,POINT(106.804490089417 10.830049838744),,Lã Xuân Oai - Đường D2,,http://camera.thongtingiaothong.vn/api/snapshot/63b54a70bfd3d90017ea7862
58e49783d9d6200011e0b9ce,POINT(106.624760627747 10.8274733494884),Quận 12,Trường Chinh - Phan Văn Hớn 2 (HM-Q12),135,http://camera.thongtingiaothong.vn/api/snapshot/58e49783d9d6200011e0b9ce
5deb576d1dc17d7c5515ad0c,POINT(106.693342 10.771135),,Nút giao Ngã sáu Phù Đổng 1,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515ad0c
6623ef776f998a001b252768,POINT(106.602745056152 10.8616719345273),,Quốc Lộ 22 - Nguyễn Thị Sóc,,http://camera.thongtingiaothong.vn/api/snapshot/6623ef776f998a001b252768
58d7bbf2c1e33c00112b3216,POINT(106.570794582367 10.6656266937569),Huyện Bình Chánh,Quốc lộ 1 - Đinh Đức Thiện 2,225,http://camera.thongtingiaothong.vn/api/snapshot/58d7bbf2c1e33c00112b3216
662b51d21afb9c00172d89bf,POINT(106.610255241394 10.7521974381054),,Tên Lửa - Đường số 7,,http://camera.thongtingiaothong.vn/api/snapshot/662b51d21afb9c00172d89bf
58746295b807da0011e33ccb,POINT(106.758962273598 10.8752217316573),Quận Thủ Đức,Quốc lộ 1 - Bình Đường,285,http://camera.thongtingiaothong.vn/api/snapshot/58746295b807da0011e33ccb
662b80051afb9c00172dcaf6,POINT(106.686580181122 10.7625269242757),,Nguyễn Trãi - Nguyễn Cư Trinh,,http://camera.thongtingiaothong.vn/api/snapshot/662b80051afb9c00172dcaf6
587ee2aeb807da0011e33d52,POINT(106.683232784271 10.8020392090947),Quận Phú Nhuận,Phan Đăng Lưu - Phan Xích Long,225,http://camera.thongtingiaothong.vn/api/snapshot/587ee2aeb807da0011e33d52
662b5bc31afb9c00172d92e2,POINT(106.615083217621 10.8093424582973),,Lê Trọng Tấn - Đường Kênh 19/5,,http://camera.thongtingiaothong.vn/api/snapshot/662b5bc31afb9c00172d92e2
662b58401afb9c00172d90f5,POINT(106.661823391914 10.8006480938667),,Hoàng Văn Thụ - Bùi Thị Xuân,,http://camera.thongtingiaothong.vn/api/snapshot/662b58401afb9c00172d90f5
5874644cb807da0011e33cd5,POINT(106.750985383987 10.8758064874328),Quận Thủ Đức,Cầu vượt Sóng Thần 1,105,http://camera.thongtingiaothong.vn/api/snapshot/5874644cb807da0011e33cd5
662b867b1afb9c00172dd250,POINT(106.696676015854 10.7692988698081),,Trần Hưng Đạo - Ký Con,,http://camera.thongtingiaothong.vn/api/snapshot/662b867b1afb9c00172dd250
597bf0b8faa7ea0011c7c293,POINT(106.791679859161 10.8163926125139),,Cầu Phú Hữu 1,180,http://camera.thongtingiaothong.vn/api/snapshot/597bf0b8faa7ea0011c7c293
662b83ff1afb9c00172dcffb,POINT(106.698188781738 10.7805078178228),,Lê Duẩn - Phạm Ngọc Thạch,,http://camera.thongtingiaothong.vn/api/snapshot/662b83ff1afb9c00172dcffb
